Species,Straight_Carapace_Length_cm,Straight_Carapace_Width_cm,weight_kg
green,30.2,24,3.6
green,30.2,24,3.6
green,30.2,24,3.6
green,30.9,24,3.6
green,30.9,24,3.6
green,31.8,24.1,3.6
green,29.8,24.2,3.6
green,29.8,24.2,3.6
green,29.8,24.2,3.6
green,29.8,24.2,3.6
green,31.9,24.3,3.6
green,31.9,24.3,3.6
green,29.1,24.5,3.6
green,29.1,24.5,3.6
green,29.1,24.5,3.6
green,29.1,24.5,3.6
ridley,27.2,24.7,3.6
green,31.3,24.8,3.6
green,31.3,24.8,3.6
green,31.7,24.9,3.6
green,31.7,24.9,3.6
green,29.8,25.1,3.6
green,30.1,25.1,3.6
green,30.1,25.1,3.6
green,30.3,25.2,3.6
green,30.3,25.2,3.6
green,31.2,25.2,3.6
green,31.2,25.2,3.6
green,31.2,25.2,3.6
green,31.2,25.2,3.6
green,32.2,25.3,3.6
green,32.2,25.3,3.6
green,32.2,25.3,3.6
green,32.2,25.3,3.6
green,31.2,25.4,3.6
green,31.2,25.4,3.6
green,31.3,25.8,3.6
green,31.3,25.8,3.6
green,31.6,25.9,3.6
green,30.1,26,3.6
green,30.1,26,3.6
green,30.1,26,3.6
green,30.1,26,3.6
green,31.4,26,3.6
green,31.4,26,3.6
green,31.6,26,3.6
green,31.6,26,3.6
green,32.3,26,3.6
green,32.3,26,3.6
ridley,30.2,26.6,3.6
ridley,30.2,26.6,3.6
ridley,30.2,26.6,3.6
ridley,30.2,26.6,3.6
ridley,29.2,26.8,3.6
ridley,29.4,26.9,3.6
ridley,29.4,26.9,3.6
ridley,29.4,26.9,3.6
ridley,29.4,26.9,3.6
ridley,28.6,27.2,3.6
ridley,28.5,27.6,3.6
green,33.7,27.7,3.6
green,33.7,27.7,3.6
green,33.1,27.9,3.6
green,33.1,27.9,3.6
ridley,29.8,28,3.6
ridley,30,28.3,3.6
ridley,28.1,26.1,3.61
green,31.6,22.9,3.62
ridley,29.9,28.1,3.66
ridley,30.2,28.2,3.68
green,30.7,24.4,3.7
green,32.4,25,3.7
green,30.4,25.3,3.7
green,30.4,25.3,3.7
green,30.4,25.3,3.7
green,30.4,25.3,3.7
green,30,25.8,3.7
green,30,25.8,3.7
green,31.5,26.4,3.7
green,31.5,26.4,3.7
green,31.8,26.4,3.7
green,31.8,26.4,3.7
ridley,27.7,27.1,3.7
ridley,28.9,27.2,3.7
ridley,30.1,27.3,3.7
ridley,30.1,27.3,3.7
ridley,30.1,27.3,3.7
ridley,30.1,27.3,3.7
ridley,29.9,27.9,3.7
ridley,30.3,28.8,3.7
ridley,31.5,29.3,3.75
ridley,29.4,27,3.77
ridley,28.5,26.4,3.78
green,30.5,23.7,3.8
green,30.5,23.7,3.8
green,30.5,23.7,3.8
green,30.5,23.7,3.8
green,29.9,23.9,3.8
green,29.9,23.9,3.8
green,32.1,24.2,3.8
green,32.1,24.2,3.8
green,30.3,24.7,3.8
green,30.3,24.7,3.8
green,31.4,24.8,3.8
green,31.4,24.8,3.8
green,32.6,25,3.8
green,32.6,25,3.8
green,30.2,25.3,3.8
green,30.2,25.3,3.8
green,30.2,25.3,3.8
green,30.2,25.3,3.8
green,31.7,25.3,3.8
green,31.7,25.3,3.8
green,31.7,25.3,3.8
green,31.7,25.3,3.8
green,32.1,25.3,3.8
green,32.1,25.3,3.8
green,33,25.3,3.8
green,33,25.3,3.8
green,31.8,25.4,3.8
green,31.8,25.4,3.8
green,32.4,25.6,3.8
green,32.4,25.6,3.8
green,32.6,25.6,3.8
green,32.6,25.6,3.8
green,31.6,25.8,3.8
green,31.6,25.8,3.8
green,31.8,25.9,3.8
green,31.8,25.9,3.8
green,32.1,25.9,3.8
green,30.9,26,3.8
green,30.9,26,3.8
green,31.8,26,3.8
green,31.8,26,3.8
green,32.2,26.1,3.8
green,32.2,26.1,3.8
green,32.3,26.4,3.8
green,32.3,26.4,3.8
green,31.5,26.8,3.8
green,31.5,26.8,3.8
green,31.8,26.8,3.8
green,31.8,26.8,3.8
green,32.1,26.9,3.8
green,32.1,26.9,3.8
ridley,29.5,27.6,3.8
ridley,30.2,28.3,3.8
green,33.7,28.3,3.8
green,33.7,28.3,3.8
ridley,30.2,28.4,3.8
ridley,30.3,28.4,3.8
ridley,30.3,28.4,3.8
ridley,30.3,28.4,3.8
ridley,30.3,28.4,3.8
ridley,31,29.4,3.8
ridley,31,29.4,3.8
ridley,31,29.4,3.8
ridley,31,29.4,3.8
green,31.4,25.2,3.82
ridley,29,26.3,3.84
ridley,27.3,26.6,3.85
ridley,29.4,27.5,3.87
green,29.9,25.8,3.88
green,30,24.5,3.89
green,31.6,24.6,3.89
green,31.4,24.5,3.9
green,31,25.5,3.9
green,32.4,25.9,3.9
green,32.4,25.9,3.9
green,32.4,25.9,3.9
green,32.4,25.9,3.9
green,32.4,25.9,3.9
green,32.4,25.9,3.9
green,33.2,26,3.9
green,33.2,26,3.9
green,32.6,26.6,3.9
green,32.6,26.6,3.9
ridley,29.8,26.9,3.9
ridley,29.4,28.4,3.9
ridley,31.4,30,3.95
ridley,29.1,27.2,3.98
green,31.1,23.7,4
green,31.1,23.7,4
green,31.1,23.7,4
green,31.1,23.7,4
green,31.9,23.8,4
green,31.9,23.8,4
green,31.9,23.8,4
green,31.9,23.8,4
green,32.5,24.2,4
green,32.5,24.2,4
green,32.5,24.2,4
green,32.5,24.2,4
green,30.6,24.6,4
green,32.4,25.3,4
green,32.4,25.3,4
green,31.1,25.5,4
green,31.1,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,31.8,25.5,4
green,30.9,25.6,4
green,30.9,25.6,4
green,31.2,25.7,4
green,31.2,25.7,4
green,32.6,25.8,4
green,32.5,26,4
green,32.5,26,4
green,31.8,26.1,4
green,31.8,26.1,4
green,33.5,26.2,4
green,33.5,26.2,4
green,32.6,26.6,4
green,32.6,26.6,4
green,33.5,26.6,4
green,33.5,26.6,4
green,33.6,26.6,4
green,33.6,26.6,4
green,32.6,26.7,4
green,32.6,26.7,4
green,32.7,26.7,4
green,32.7,26.7,4
green,32,26.8,4
green,32,26.8,4
green,32.4,27.2,4
green,32.4,27.2,4
green,32.3,27.4,4
green,32.3,27.4,4
ridley,29.1,27.5,4
green,32.4,27.5,4
green,32.4,27.5,4
ridley,29.5,27.6,4
green,33.4,27.6,4
green,33.4,27.6,4
green,33.4,27.6,4
green,33.4,27.6,4
ridley,30.4,28,4
ridley,30.4,28.1,4
ridley,31.1,29.2,4
ridley,31.1,29.2,4
ridley,31.1,29.2,4
ridley,31.1,29.2,4
ridley,30.1,27.9,4.04
ridley,29.7,28.3,4.05
hawksbill,33.6,24.2,4.09
hawksbill,32,23.9,4.1
green,31.8,26.8,4.1
green,31.8,26.8,4.1
ridley,30.5,28.3,4.1
ridley,30.9,28.8,4.1
ridley,30.8,29.1,4.1
ridley,30.7,28.7,4.11
green,31,24.2,4.14
ridley,32.6,30.9,4.14
green,31.7,25.5,4.15
ridley,30,27.6,4.15
green,32.9,25.3,4.2
green,32.9,25.3,4.2
green,31.6,25.4,4.2
green,31.6,25.4,4.2
green,31.6,25.4,4.2
green,31.6,25.4,4.2
green,31.6,25.5,4.2
green,31.6,25.5,4.2
green,32.2,25.6,4.2
green,32.2,25.6,4.2
green,32.7,25.6,4.2
green,32.7,25.6,4.2
green,32,25.8,4.2
green,32.6,26.3,4.2
green,32.6,26.3,4.2
green,31.1,26.5,4.2
green,31.1,26.5,4.2
green,32.5,26.5,4.2
green,32.5,26.5,4.2
green,32.5,26.5,4.2
green,32.5,26.5,4.2
green,32.5,26.5,4.2
green,32.5,26.5,4.2
green,32.5,26.5,4.2
green,32.5,26.5,4.2
green,33.5,26.6,4.2
green,33.5,26.6,4.2
green,32.5,26.7,4.2
green,32.5,26.7,4.2
green,33.9,26.7,4.2
green,32.3,26.9,4.2
green,32.3,26.9,4.2
green,32.8,26.9,4.2
green,32.8,26.9,4.2
green,33.7,26.9,4.2
green,33.7,26.9,4.2
green,34,27,4.2
green,34,27,4.2
green,31.8,27.2,4.2
green,31.8,27.2,4.2
green,33.7,27.2,4.2
green,33.7,27.2,4.2
green,32.8,27.3,4.2
green,32.8,27.3,4.2
green,32.8,27.3,4.2
green,32.8,27.3,4.2
green,33.7,27.3,4.2
green,33.7,27.3,4.2
green,33,28,4.2
green,33,28,4.2
green,34.1,28.2,4.2
green,34.1,28.2,4.2
ridley,31.4,28.9,4.2
ridley,31.4,28.9,4.2
ridley,31.4,28.9,4.2
ridley,31.4,28.9,4.2
ridley,32.1,29.7,4.2
ridley,32.1,29.7,4.2
ridley,32.1,33.2,4.2
ridley,40.2,38.8,4.2
ridley,40.2,38.8,4.2
ridley,40.2,38.8,4.2
ridley,40.2,38.8,4.2
ridley,31.1,28.3,4.21
ridley,31,28.4,4.21
ridley,31.2,29.3,4.21
